Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2020-12-14,6015.1455078125,6023.965369260905,5993.095854191486,5997.505784915689,179785500
2020-12-15,5988.6845703125,6085.703024323453,5825.517170384987,6023.964008134665,164024500
2020-12-16,6129.802734375,6129.802734375,6032.7842738309355,6050.423993929856,138674000
2020-12-17,6116.57275390625,6173.901842443223,6015.144366494683,6143.032333231007,91920000
2020-12-18,5997.5048828125,6116.572994456572,5957.815512264477,6116.572994456572,147238500
2020-12-21,6023.96435546875,6076.883515253248,5997.504775576501,6076.883515253248,93692500
2020-12-22,5922.53662109375,6015.145160961933,5918.126690623837,5944.586273443318,61790500
2020-12-23,5931.3564453125,6090.113941246515,5838.747906017658,6090.113941246515,76948000
2020-12-28,5979.865234375,6015.144675285767,5874.026911642699,5988.685094602692,60234000
2020-12-29,5966.6357421875,6006.325115195399,5944.5860905164445,5975.455602855922,34212500
2020-12-30,5971.0458984375,5997.50548144387,5909.3068714226365,5997.50548144387,52675500
2021-01-04,6028.375,6046.01472201902,5926.946598390637,5997.505486466715,47937000
2021-01-05,6253.28076171875,6253.28076171875,6041.604120983559,6050.423981014193,104831000
2021-01-06,6125.3935546875,6240.051749375674,6068.064457343412,6218.002096551026,89753500
2021-01-07,6143.03271484375,6218.001527587715,6094.523483068243,6173.9022259736175,71360000
2021-01-08,6218.00146484375,6244.461045545213,6151.852513090093,6204.7716744930185,75033500
2021-01-11,6478.18798828125,6491.417779952349,6301.790765999936,6306.200696556969,169034500
2021-01-12,6315.01953125,6509.056444221368,6315.01953125,6478.18693533956,95235000
2021-01-13,6279.740234375,6416.448062510973,6235.640934976299,6389.988482871752,76581500
2021-01-14,6191.5419921875,6253.28101490162,6169.4923412181715,6218.001573350694,89319500
2021-01-15,6134.212890625,6262.10086605859,6032.7844963156,6257.6909358712255,89853500
2021-01-18,6279.740234375,6284.15016431487,6037.194087682145,6134.212546359287,86343000
2021-01-19,6257.69091796875,6279.740568842494,6178.312174823269,6279.740568842494,73777000
2021-01-20,6257.69091796875,6434.088124958707,6235.641267095005,6319.429940415235,107216000
2021-01-21,6240.0517578125,6438.49863350265,6226.821966099823,6420.858911219081,66428000
2021-01-22,6244.4619140625,6315.020805746823,6240.0519833322305,6240.0519833322305,80829000
2021-01-25,6204.771484375,6350.299173773987,6173.901974502487,6350.299173773987,76836500
2021-01-26,6015.1455078125,6173.903013883797,6015.1455078125,6134.213637365973,98658000
2021-01-27,5988.6845703125,6112.162602690077,5913.715764940399,6015.144148679124,97920000
2021-01-28,6085.703125,6107.752774003624,5988.684669384058,5988.684669384058,104627000
2021-01-29,5962.22607421875,6173.902739575628,5962.22607421875,6085.7041290102625,132762500
2021-02-01,6015.1455078125,6103.344122296554,5816.698625223377,5962.226339122068,113129000
2021-02-02,5997.5048828125,6156.262365004596,5997.5048828125,6143.032574821921,86741000
2021-02-03,6019.55517578125,6173.902744391025,6019.55517578125,6173.902744391025,67291000
2021-02-04,6046.013671875,6173.901634299781,6028.373952919857,6103.3427584792125,80950500
2021-02-05,6098.93359375,6129.803105793565,6046.014430246746,6059.24422112256,51602000
2021-02-08,6103.34375,6222.411872290462,6068.064306358381,6218.00194183526,45604000
2021-02-09,6156.26318359375,6200.3624900664845,6134.213530357383,6173.902906182844,75574000
2021-02-10,6103.34375,6218.00194183526,6085.704028179191,6218.00194183526,44984500
2021-02-11,6068.064453125,6160.672994924146,6032.785008630087,6160.672994924146,36926000
2021-02-15,5997.5048828125,6076.883623908548,5926.946001838235,6023.964463177849,83922000
2021-02-16,6120.9833984375,6125.393328839832,6023.964929586185,6068.06423360951,47221000
2021-02-17,6085.703125,6138.622282608696,6041.603826992754,6076.883265398551,66011500
2021-02-18,5940.17626953125,6085.703973239143,5940.17626953125,6041.604669085236,91204000
2021-02-19,6019.55517578125,6041.604828439789,5962.226078869047,5979.865800995879,70487500
2021-02-22,5988.6845703125,6120.982462145618,5988.6845703125,6085.703024323453,68913000
2021-02-23,6019.55517578125,6037.194897908081,5975.455870464171,6015.145245249541,58360000
2021-02-24,5931.3564453125,6028.374915049953,5931.3564453125,6019.555054164731,71869000
2021-02-25,5913.716796875,5971.045893339859,5891.667144388516,5944.586310356078,78688000
2021-02-26,5918.126953125,6006.325566435357,5860.797854473268,5913.717022459482,173631500
2021-03-01,6213.591796875,6213.591796875,5997.505212029808,6023.964793847586,205539000
2021-03-02,6187.13232421875,6315.020305261048,6173.902533076443,6279.740862214897,81446500
